Source,Target,weight
57579,2266,0.19999999999999998
57579,5294,0.19999999999999998
57579,63475,0.3333333333333333
57579,63533,0.26666666666666666
57579,67712,0.19999999999999998
57579,72604,0.19999999999999998
57579,84078,0.19999999999999998
57579,84089,0.3333333333333333
57579,86964,0.3333333333333333
57579,87571,0.19999999999999998
57579,95758,0.26666666666666666
57579,116770,0.3333333333333333
57579,131470,0.19999999999999998
57579,133731,0.3333333333333333
57579,174624,0.3333333333333333
57579,184856,0.3333333333333333
57579,198736,0.3333333333333333
57579,214079,0.3333333333333333
57579,216899,0.3333333333333333
57579,259783,0.3333333333333333
57579,272283,0.3333333333333333
57579,282945,0.3333333333333333
57579,284207,0.3333333333333333
57579,301223,0.3333333333333333
57579,306209,0.26666666666666666
57579,306864,0.3333333333333333
57579,307226,0.3333333333333333
57579,312920,0.3333333333333333
57579,335463,0.3333333333333333
57579,348243,0.3333333333333333
57579,358068,0.3333333333333333
57579,378371,0.3333333333333333
57579,400461,0.3333333333333333
57579,427111,0.3333333333333333
57579,629365,0.3333333333333333
57579,890984,0.19999999999999998
57579,929848,0.3333333333333333
57579,933811,0.3333333333333333
57579,1141567,0.3333333333333333
57579,1335689,0.3333333333333333
57579,1339880,0.3333333333333333
57579,1345874,0.3333333333333333
57579,1360844,0.3333333333333333
57579,1360909,0.3333333333333333
57579,1360970,0.3333333333333333
57579,1360976,0.3333333333333333
57579,1363878,0.3333333333333333
57579,1367909,0.3333333333333333
57579,1372160,0.3333333333333333
57579,1386209,0.3333333333333333
57579,1389057,0.3333333333333333
57579,1401203,0.3333333333333333
57579,1419525,0.3333333333333333
57579,1423987,0.3333333333333333
57579,1424028,0.3333333333333333
57579,1441463,0.3333333333333333
57579,1472840,0.3333333333333333
57579,1523741,0.3333333333333333
57579,1540347,0.3333333333333333
57579,1587365,0.3333333333333333
57579,1623103,0.3333333333333333
57579,1624317,0.3333333333333333
57579,1677022,0.3333333333333333
57579,1733178,0.3333333333333333
57579,1778149,0.3333333333333333
57579,1788101,0.3333333333333333
57579,1806266,0.3333333333333333
57579,1921728,0.3333333333333333
57579,2058549,0.3333333333333333
57579,2151453,0.3333333333333333
2266,77203,0.26666666666666666
2266,8534,0.3333333333333333
2266,35334,0.3333333333333333
2266,44631,0.26666666666666666
2266,53310,0.26666666666666666
2266,55956,0.3333333333333333
2266,63347,0.26666666666666666
2266,63533,0.6666666666666666
2266,70128,0.3333333333333333
2266,72604,0.3333333333333333
2266,72863,0.19999999999999998
2266,77311,0.26666666666666666
2266,78689,0.19999999999999998
2266,80659,0.3333333333333333
2266,84078,0.3333333333333333
2266,86972,0.26666666666666666
2266,88624,0.26666666666666666
2266,88869,0.26666666666666666
2266,89273,0.3333333333333333
2266,89418,0.26666666666666666
2266,89516,0.26666666666666666
2266,93566,0.26666666666666666
2266,95758,0.26666666666666666
2266,128736,0.3333333333333333
2266,152214,0.26666666666666666
2266,161778,0.19999999999999998
2266,184856,0.19999999999999998
2266,194436,0.26666666666666666
2266,195990,0.19999999999999998
2266,284207,0.26666666666666666
2266,290891,0.3333333333333333
2266,301723,0.26666666666666666
2266,345298,0.26666666666666666
2266,345939,0.26666666666666666
2266,453941,0.19999999999999998
2266,554210,0.26666666666666666
2266,751215,0.26666666666666666
2266,891255,0.26666666666666666
2266,931115,0.19999999999999998
2266,933811,0.19999999999999998
2266,952211,0.19999999999999998
2266,1000695,0.26666666666666666
2266,1004180,0.26666666666666666
2266,1023227,0.19999999999999998
2266,1294658,0.3333333333333333
2266,1335689,0.19999999999999998
2266,1339265,0.26666666666666666
2266,1359697,0.19999999999999998
2266,1362827,0.26666666666666666
2266,1363878,0.19999999999999998
2266,1387256,0.26666666666666666
2266,1390737,0.26666666666666666
2266,1392112,0.26666666666666666
2266,1413988,0.26666666666666666
2266,1424028,0.26666666666666666
2266,1435849,0.26666666666666666
2266,1484052,0.26666666666666666
2266,1490601,0.26666666666666666
2266,1621392,0.19999999999999998
2266,1623372,0.26666666666666666
2266,1666558,0.26666666666666666
2266,1681607,0.26666666666666666
2266,1706862,0.26666666666666666
2266,1761418,0.26666666666666666
2266,1778149,0.19999999999999998
2266,1792971,0.26666666666666666
2266,1812026,0.26666666666666666
2266,1835312,0.26666666666666666
2266,1914916,0.26666666666666666
2266,2039826,0.26666666666666666
5294,133731,0.19999999999999998
5294,282945,0.19999999999999998
5294,63475,0.19999999999999998
5294,63533,0.26666666666666666
5294,86964,0.19999999999999998
5294,87571,0.3333333333333333
5294,116770,0.19999999999999998
5294,131470,0.3333333333333333
5294,198736,0.19999999999999998
5294,214079,0.19999999999999998
