Source,Target
74518,3145
74518,3872
74518,4292
74518,7127
74518,63792
74518,63814
74518,70451
74518,77523
74518,89273
74518,94570
74518,122874
74518,965549
74518,1445291
74518,1781509
91063,8593
91063,9823
91063,81027
91063,87744
91063,89273
91063,89369
91063,94570
280768,8593
280768,64826
280768,69198
280768,72927
280768,80838
280768,81112
280768,83285
280768,194436
280768,209966
280768,558713
280768,1773073
280768,1782720
570566,25780
570566,63814
570566,93859
570566,94570
570566,134696
570566,146242
570566,151982
570566,198813
570566,198836
570566,289236
570566,408283
570566,575219
570566,1353743
570566,1379303
570566,1585058
1359377,94570
1359377,298373
1359377,965549
1359377,1354695
1359377,1664602
1362810,73781
1362810,83285
1362810,238284
1362810,413448
1362810,765363
1362810,1364417
1362810,1378058
1362810,1438441
1362810,1698954
2278,50258
2278,53764
2278,57355
2278,1393228
50258,3145
50258,4292
50258,53764
50258,89294
50258,93613
50258,105716
50258,184510
50258,192102
50258,559121
50258,1343138
50258,1393228
53764,66883
53764,1390919
53764,1393228
57355,44631
57355,89307
57355,666613
2696,64772
3053,79427
3053,256943
79427,3145
79427,4292
79427,52032
79427,63814
79427,66067
79427,89273
79427,94570
79427,102135
79427,306384
79427,348070
3070,1358002
1358002,1918723
3145,4292
3145,9823
3145,10033
3145,47035
3145,52032
3145,63814
3145,70451
3145,75438
3145,89273
3145,89307
3145,93613
3145,94570
3145,102135
3145,105716
3145,122874
3145,161754
3145,348070
3145,517019
3145,559121
3145,717760
3145,965549
3145,1445291
3145,1781509
4292,9823
4292,10033
4292,47035
4292,52032
4292,75438
4292,89307
4292,93613
4292,94570
4292,102135
4292,105716
4292,122874
4292,348070
4292,559121
4292,717760
4292,1781509
9823,8593
9823,76204
9823,89273
9823,89307
9823,89369
9823,93613
9823,105716
9823,717760
10033,93613
52032,94570
52032,102135
52032,348070
63814,6104
63814,7127
63814,8593
63814,20998
63814,25381
63814,67712
63814,73781
63814,76204
63814,76228
63814,80478
63814,81096
63814,84089
63814,84466
63814,91192
63814,94570
63814,99391
63814,104740
63814,105716
63814,141591
63814,146242
63814,166541
63814,196445
63814,198895
63814,267296
63814,288184
63814,503466
63814,669465
63814,890984
63814,1415415
63814,1445291
70451,3173
70451,3872
70451,8593
70451,21769
70451,25381
70451,28353
70451,64868
70451,79473
70451,80478
70451,84239
70451,87179
70451,88326
70451,89273
70451,94077
70451,99391
70451,101322
70451,126508
70451,126727
70451,277546
70451,307488
70451,353466
70451,503070
70451,558857
70451,1325474
70451,1343138
70451,1389266
70451,1523741
75438,93613
89273,3872
89273,8593
89273,36680
89273,52010
89273,56589
89273,62410
89273,63792
89273,64838
89273,77523
89273,78122
89273,79622
89273,81112
89273,83214
89273,84239
89273,94570
89273,161754
89273,195137
89273,287927
89273,359447
89273,437930
89273,764557
89273,785681
89273,787919
89273,1190556
89273,1337131
89273,1343169
89273,1343754
89273,1346965
89273,1347138
89273,1366876
89273,1621915
89273,1776034
89273,1800121
89307,93613
89307,94570
89307,105716
89307,1325474
89307,1338583
93613,105716
94570,3872
94570,3936
94570,7148
94570,8593
94570,17615
94570,24203
94570,25780
94570,26597
94570,31711
94570,32358
94570,33523
94570,33683
94570,41285
94570,51960
94570,73145
94570,73729
94570,77203
94570,77918
94570,83214
94570,83750
94570,85596
94570,85765
94570,87571
94570,90537
94570,91192
94570,94077
94570,102135
94570,102379
94570,102575
94570,104395
94570,104609
94570,125291
94570,142197
94570,155090
94570,163326
94570,165582
94570,165844
94570,185678
94570,196339
94570,214153
94570,233073
94570,282945
94570,287421
94570,289113
94570,314886
94570,335216
94570,343024
94570,348070
94570,351025
94570,499896
94570,517019
94570,543076
94570,614684
94570,721607
94570,764557
94570,965549
94570,1190556
94570,1335228
94570,1335229
94570,1339240
94570,1340942
94570,1341457
94570,1360885
94570,1381489
94570,1387256
94570,1435849
94570,1445291
94570,1585058
94570,2068183
102135,348070
105716,32475
105716,69198
105716,91192
105716,138385
105716,198458
105716,1343138
122874,55283
122874,1318475
122874,1781509
517019,26597
517019,195118
3173,8593
3173,1335189
8593,7529
8593,16523
8593,21769
8593,25381
8593,25397
8593,26724
8593,50107
8593,70128
8593,72194
8593,73216
8593,75431
8593,76204
8593,78356
8593,79379
8593,79473
8593,80838
8593,81027
8593,81112
8593,82725
8593,83214
8593,86226
8593,87421
8593,94077
8593,102728
8593,107970
8593,111105
8593,130583
8593,157214
8593,159995
8593,174624
8593,176038
8593,184510
8593,192102
8593,198736
8593,212492
8593,256381
8593,267296
8593,282945
8593,284207
8593,290201
8593,295740
8593,306319
8593,312922
8593,316804
8593,348243
8593,353466
8593,355261
8593,369088
8593,428659
8593,558713
8593,595474
8593,666613
8593,668454
8593,707199
8593,721607
8593,780962
8593,787919
8593,1060920
8593,1061428
8593,1095222
8593,1168770
8593,1190556
8593,1297048
8593,1325474
8593,1335189
8593,1336432
8593,1344305
8593,1346016
8593,1347657
8593,1347956
8593,1353708
8593,1354693
8593,1356650
8593,1358275
8593,1361302
8593,1363514
8593,1366876
8593,1367251
8593,1367909
8593,1370776
8593,1371472
8593,1374081
8593,1377447
8593,1385611
8593,1394499
8593,1395247
8593,1413277
8593,1426037
8593,1523741
8593,1773073
3872,29563
3872,569731
29563,57146
29563,70881
29563,89047
29563,569731
29563,1347554
29563,1360462
12642,32838
12642,44505
12642,1418104
12642,1425546
25397,1361302
44505,70881
44505,349433
72194,1387262
83214,16523
83214,33417
83214,47317
83214,67273
83214,70881
83214,73729
83214,77729
83214,81096
83214,83285
83214,85475
83214,86574
83214,87571
83214,102575
83214,104609
83214,138640
83214,141850
83214,185678
83214,193955
83214,209966
83214,256381
83214,268045
83214,286167
83214,342791
83214,349433
83214,371896
83214,668454
83214,717747
83214,1000695
83214,1341457
101806,75976
101806,77683
101806,176038
146242,289236
369088,282945
369088,595474
369088,721607
369088,780962
369088,1356650
369088,1361302
369088,1377447
1356650,704742
1356650,1482473
1361302,282945
1361302,306319
1361302,595474
1361302,780962
1425546,319220
1425546,1405289
1773073,1782720
3936,1760736
6649,14351
6649,33523
6649,73009
6649,1325474
33523,33683
33523,51960
33523,84727
33523,1378101
33523,1441409
33523,1585058
73009,25381
1325474,21769
1325474,1672494
6772,89047
89047,62180
89047,76228
89047,80838
89047,142197
89047,369085
89047,1676954
89047,2091678
7035,66616
66616,81112
66616,353168
66616,1338585
66616,1599676
66616,2040495
7127,12881
7127,23008
7127,51960
7127,63792
7127,83285
7127,83761
7127,288184
23008,53310
23008,154478
23008,157305
51960,314886
51960,1357238
83285,10160
83285,16523
83285,24203
83285,55283
83285,73560
83285,76228
83285,80478
